iter	RMSE
0	77464.50567
1	76965.78236
2	76469.791
3	75997.26423
4	75514.66624
5	75046.79008
6	74581.26002
7	74114.18529
8	73646.7303
9	73173.76664
10	72719.01369
11	72297.00369
12	71881.98824
13	71485.02149
14	71080.113
15	70692.85796
16	70270.05899
17	69860.24557
18	69443.69067
19	69042.19874
20	68655.0077
21	68267.50466
22	67885.4392
23	67501.55434
24	67124.42084
25	66745.64989
26	66370.07727
27	66003.06921
28	65633.53614
29	65272.42993
30	64885.96189
31	64546.01183
32	64196.88674
33	63831.85479
34	63531.92888
35	63187.61842
36	62859.26951
37	62502.02406
38	62174.63498
39	61852.17247
40	61512.79401
41	61167.4394
42	60841.58041
43	60547.79653
44	60229.10639
45	59922.37409
46	59603.89624
47	59287.65853
48	58992.78929
49	58700.98889
50	58388.5092
51	58074.47543
52	57754.74615
53	57495.15918
54	57205.3798
55	56913.96893
56	56650.34715
57	56390.28219
58	56109.72915
59	55852.48995
60	55586.30336
61	55340.66318
62	55089.19249
63	54811.67416
64	54576.83443
65	54322.7214
66	54063.85866
67	53825.65591
68	53568.88956
69	53303.41402
70	53064.87487
71	52816.4418
72	52571.30954
73	52336.05341
74	52103.5832
75	51856.48719
76	51606.9919
77	51399.14442
78	51176.76865
79	50945.05056
80	50701.084
81	50517.84819
82	50300.60716
83	50093.02401
84	49887.48817
85	49676.06137
86	49461.79662
87	49233.00245
88	49008.22242
89	48814.78917
90	48628.09119
91	48446.06065
92	48240.43267
93	48070.57753
94	47872.62189
95	47666.87567
96	47530.6809
97	47328.78865
98	47163.93945
99	46990.92416
100	46821.61619
101	46639.59816
102	46449.39468
103	46284.10332
104	46090.5098
105	45908.78982
106	45723.8889
107	45543.85589
108	45365.74866
109	45186.18772
110	45009.60207
111	44830.96814
112	44648.76039
113	44482.00885
114	44303.87636
115	44122.68472
116	43957.31244
117	43786.49737
118	43630.39515
119	43469.61652
120	43299.23214
121	43150.87957
122	42993.38481
123	42815.39544
124	42676.09586
125	42520.20432
126	42369.96307
127	42237.66738
128	42097.94554
129	41949.88088
130	41818.74146
131	41649.05927
132	41500.53732
133	41356.84584
134	41226.19601
135	41079.07916
136	40920.46628
137	40802.32745
138	40658.32219
139	40519.92698
140	40372.71624
141	40233.10329
142	40096.84948
143	39975.84648
144	39850.79867
145	39732.15749
146	39623.16674
147	39493.24435
148	39355.79195
149	39221.1335
150	39105.78476
151	39005.16268
152	38884.03074
153	38755.78255
154	38642.76207
155	38528.89732
156	38403.46101
157	38313.33568
158	38206.36909
159	38102.04159
160	38001.86257
161	37889.44302
162	37773.02451
163	37659.30846
164	37537.81207
165	37430.58489
166	37318.98992
167	37202.24679
168	37092.0853
169	36978.04763
170	36889.13419
171	36781.72934
172	36672.91493
173	36553.17132
174	36447.9428
175	36370.06108
176	36260.70081
177	36172.85573
178	36076.2912
179	35977.73814
180	35879.35384
181	35782.01269
182	35692.30853
183	35597.49966
184	35502.38793
185	35407.94691
186	35305.63158
187	35207.16025
188	35113.66865
189	35030.849
190	34945.24689
191	34860.38378
192	34769.21649
193	34676.20584
194	34602.12599
195	34511.94828
196	34429.85652
197	34345.73473
